CountryCode,CountryName,ID,PeaceStart,PeaceEnd,Failed,Mediation,MediatedAgreemt,SuperpowerMediation,TotalNofMedAttempts,UNPeacekeeping,EthnicWar,LogTotalDeaths,WarDuration,MilitaryVictory,Democracy,lnGDP,LogArmySize,WarCount,st,d,origin,t,t0
160,,8,1955,1965,0,0,0,0,0,0,0,8.0063677,1,1,0,1.6130315,5.0434251,1,1,0,1955,10,9
160,,8,1955,1966,0,0,0,0,0,0,0,8.0063677,1,1,0,1.6005989,5.0751739,1,1,0,1955,11,10
160,,8,1955,1967,0,0,0,0,0,0,0,8.0063677,1,1,0,1.6130315,5.0751739,1,1,0,1955,12,11
160,,8,1955,1968,0,0,0,0,0,0,0,8.0063677,1,1,0,1.6426793,5.0751739,1,1,0,1955,13,12
160,,8,1955,1969,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7049298,5.0751739,1,1,0,1955,14,13
160,,8,1955,1970,0,0,0,0,0,0,0,8.0063677,1,1,0,1.729352,4.9416423,1,1,0,1955,15,14
160,,8,1955,1971,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7607846,4.9416423,1,1,0,1955,16,15
160,,8,1955,1972,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7595806,4.9416423,1,1,0,1955,17,16
160,,8,1955,1973,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7793494,5.0751739,1,1,0,1955,18,17
160,,8,1955,1974,0,0,0,0,0,0,0,8.0063677,1,1,1,1.8193747,5.0106354,1,1,0,1955,19,18
160,,8,1955,1975,0,0,0,0,0,0,0,8.0063677,1,1,1,1.8003888,5.0751739,1,1,0,1955,20,19
160,,8,1955,1976,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7667835,5.0434251,1,1,0,1955,21,20
160,,8,1955,1977,0,0,0,0,0,0,0,8.0063677,1,1,0,1.8135209,5.0434251,1,1,0,1955,22,21
160,,8,1955,1978,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7662708,5.0434251,1,1,0,1955,23,22
160,,8,1955,1979,0,0,0,0,0,0,0,8.0063677,1,1,0,1.8415016,5.0434251,1,1,0,1955,24,23
160,,8,1955,1980,0,0,0,0,0,0,0,8.0063677,1,1,0,1.8727249,5.0434251,1,1,0,1955,25,24
160,,8,1955,1981,0,0,0,0,0,0,0,8.0063677,1,1,0,1.8030291,5.0434251,1,1,0,1955,26,25
160,,8,1955,1982,0,0,0,0,0,0,0,8.0063677,1,1,0,1.7023816,5.1647859,1,1,0,1955,27,26
160,,8,1955,1983,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7241942,5.1647859,1,1,0,1955,28,27
160,,8,1955,1984,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7446679,5.1590552,1,1,0,1955,29,28
160,,8,1955,1985,0,0,0,0,0,0,0,8.0063677,1,1,1,1.6722249,4.8598123,1,1,0,1955,30,29
160,,8,1955,1986,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7270432,4.6443911,1,1,0,1955,31,30
160,,8,1955,1987,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7439687,4.7706847,1,1,0,1955,32,31
160,,8,1955,1988,0,0,0,0,0,0,0,8.0063677,1,1,1,1.6769096,4.5538769,1,1,0,1955,33,32
160,,8,1955,1989,0,0,0,0,0,0,0,8.0063677,1,1,1,1.590459,4.5538769,1,1,0,1955,34,33
160,,8,1955,1990,0,0,0,0,0,0,0,8.0063677,1,1,1,1.5488383,4.4426513,1,1,0,1955,35,34
160,,8,1955,1991,0,0,0,0,0,0,0,8.0063677,1,1,1,1.6549054,4.2484951,1,1,0,1955,36,35
160,,8,1955,1992,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7544307,4.1743875,1,1,0,1955,37,36
160,,8,1955,1993,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7984959,4.1743875,1,1,0,1955,38,37
160,,8,1955,1994,0,0,0,0,0,0,0,8.0063677,1,1,1,1.8418419,4.2341065,1,1,0,1955,39,38
160,,8,1955,1995,0,0,0,0,0,0,0,8.0063677,1,1,1,1.7995496,4.1743875,1,1,0,1955,40,39
160,Argentina2 (1975-1977),9,1977,1978,0,0,0,0,0,0,0,9.1049795,3,1,0,1.7662708,5.0434251,2,1,0,1977,1,0
160,,9,1977,1979,0,0,0,0,0,0,0,9.1049795,3,1,0,1.8415016,5.0434251,2,1,0,1977,2,1
160,,9,1977,1980,0,0,0,0,0,0,0,9.1049795,3,1,0,1.8727249,5.0434251,2,1,0,1977,3,2
160,,9,1977,1981,0,0,0,0,0,0,0,9.1049795,3,1,0,1.8030291,5.0434251,2,1,0,1977,4,3
160,,9,1977,1982,0,0,0,0,0,0,0,9.1049795,3,1,0,1.7023816,5.1647859,2,1,0,1977,5,4
160,,9,1977,1983,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7241942,5.1647859,2,1,0,1977,6,5
160,,9,1977,1984,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7446679,5.1590552,2,1,0,1977,7,6
160,,9,1977,1985,0,0,0,0,0,0,0,9.1049795,3,1,1,1.6722249,4.8598123,2,1,0,1977,8,7
160,,9,1977,1986,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7270432,4.6443911,2,1,0,1977,9,8
160,,9,1977,1987,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7439687,4.7706847,2,1,0,1977,10,9
160,,9,1977,1988,0,0,0,0,0,0,0,9.1049795,3,1,1,1.6769096,4.5538769,2,1,0,1977,11,10
160,,9,1977,1989,0,0,0,0,0,0,0,9.1049795,3,1,1,1.590459,4.5538769,2,1,0,1977,12,11
160,,9,1977,1990,0,0,0,0,0,0,0,9.1049795,3,1,1,1.5488383,4.4426513,2,1,0,1977,13,12
160,,9,1977,1991,0,0,0,0,0,0,0,9.1049795,3,1,1,1.6549054,4.2484951,2,1,0,1977,14,13
160,,9,1977,1992,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7544307,4.1743875,2,1,0,1977,15,14
160,,9,1977,1993,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7984959,4.1743875,2,1,0,1977,16,15
160,,9,1977,1994,0,0,0,0,0,0,0,9.1049795,3,1,1,1.8418419,4.2341065,2,1,0,1977,17,16
160,,9,1977,1995,0,0,0,0,0,0,0,9.1049795,3,1,1,1.7995496,4.1743875,2,1,0,1977,18,17
373,Azerbaijan (1991-1994),10,1994,1995,0,1,0,1,57,0,1,10.915089,4,0,0,.10596173,4.356709,1,1,0,1994,1,0
145,Bolivia (1952-1952),12,1952,1953,0,0,0,0,0,0,0,7.3132205,1,1,0,.16889855,2.1972246,1,1,0,1952,1,0
145,,12,1952,1954,0,0,0,0,0,0,0,7.3132205,1,1,0,.16636153,2.1972246,1,1,0,1952,2,1
145,,12,1952,1955,0,0,0,0,0,0,0,7.3132205,1,1,0,.22952317,2.4849067,1,1,0,1952,3,2
145,,12,1952,1956,0,0,0,0,0,0,0,7.3132205,1,1,0,.14928171,2.8332133,1,1,0,1952,4,3
145,,12,1952,1957,0,0,0,0,0,0,0,7.3132205,1,1,0,.13015074,2.8332133,1,1,0,1952,5,4
145,,12,1952,1958,0,0,0,0,0,0,0,7.3132205,1,1,0,.12839319,2.4849067,1,1,0,1952,6,5
145,,12,1952,1959,0,0,0,0,0,0,0,7.3132205,1,1,0,.09984535,2.4849067,1,1,0,1952,7,6
145,,12,1952,1960,0,0,0,0,0,0,0,7.3132205,1,1,0,.13802131,2.4849067,1,1,0,1952,8,7
145,,12,1952,1961,0,0,0,0,0,0,0,7.3132205,1,1,0,.13976192,2.8903718,1,1,0,1952,9,8
145,,12,1952,1962,0,0,0,0,0,0,0,7.3132205,1,1,0,.19803083,2.8903718,1,1,0,1952,10,9
145,,12,1952,1963,0,0,0,0,0,0,0,7.3132205,1,1,0,.23428135,2.5649493,1,1,0,1952,11,10
145,,12,1952,1964,0,0,0,0,0,0,0,7.3132205,1,1,0,.24451354,2.5649493,1,1,0,1952,12,11
145,,12,1952,1965,0,0,0,0,0,0,0,7.3132205,1,1,0,.2971372,2.7725887,1,1,0,1952,13,12
145,,12,1952,1966,0,0,0,0,0,0,0,7.3132205,1,1,0,.33361101,3.2188759,1,1,0,1952,14,13
145,,12,1952,1967,0,0,0,0,0,0,0,7.3132205,1,1,0,.3569749,2.9957323,1,1,0,1952,15,14
145,,12,1952,1968,0,0,0,0,0,0,0,7.3132205,1,1,0,.43502387,2.8332133,1,1,0,1952,16,15
145,,12,1952,1969,0,0,0,0,0,0,0,7.3132205,1,1,0,.44147551,2.9957323,1,1,0,1952,17,16
145,,12,1952,1970,0,0,0,0,0,0,0,7.3132205,1,1,0,.50741982,2.8332133,1,1,0,1952,18,17
145,,12,1952,1971,0,0,0,0,0,0,0,7.3132205,1,1,0,.53003985,2.8332133,1,1,0,1952,19,18
145,,12,1952,1972,0,0,0,0,0,0,0,7.3132205,1,1,0,.52650207,2.8332133,1,1,0,1952,20,19
145,,12,1952,1973,0,0,0,0,0,0,0,7.3132205,1,1,0,.58945191,2.8903718,1,1,0,1952,21,20
145,,12,1952,1974,0,0,0,0,0,0,0,7.3132205,1,1,0,.60867804,2.8903718,1,1,0,1952,22,21
145,,12,1952,1975,0,0,0,0,0,0,0,7.3132205,1,1,0,.60704452,2.9957323,1,1,0,1952,23,22
145,,12,1952,1976,0,0,0,0,0,0,0,7.3132205,1,1,0,.66782939,3.0910425,1,1,0,1952,24,23
145,,12,1952,1977,0,0,0,0,0,0,0,7.3132205,1,1,0,.68158054,2.9957323,1,1,0,1952,25,24
145,,12,1952,1978,0,0,0,0,0,0,0,7.3132205,1,1,0,.70061922,2.9957323,1,1,0,1952,26,25
145,,12,1952,1979,0,0,0,0,0,0,0,7.3132205,1,1,0,.7149086,2.9957323,1,1,0,1952,27,26
145,,12,1952,1980,0,0,0,0,0,0,0,7.3132205,1,1,0,.68763196,3.1780539,1,1,0,1952,28,27
145,,12,1952,1981,0,0,0,0,0,0,0,7.3132205,1,1,0,.69912928,3.2580965,1,1,0,1952,29,28
145,,12,1952,1982,0,0,0,0,0,0,0,7.3132205,1,1,1,.62272471,3.2580965,1,1,0,1952,30,29
145,,12,1952,1983,0,0,0,0,0,0,0,7.3132205,1,1,1,.5966363,3.2958369,1,1,0,1952,31,30
145,,12,1952,1984,0,0,0,0,0,0,0,7.3132205,1,1,1,.57661337,3.3322046,1,1,0,1952,32,31
145,,12,1952,1985,0,0,0,0,0,0,0,7.3132205,1,1,1,.56189889,3.3322046,1,1,0,1952,33,32
145,,12,1952,1986,0,0,0,0,0,0,0,7.3132205,1,1,1,.51521599,3.4011974,1,1,0,1952,34,33
145,,12,1952,1987,0,0,0,0,0,0,0,7.3132205,1,1,1,.51102561,3.4011974,1,1,0,1952,35,34
145,,12,1952,1988,0,0,0,0,0,0,0,7.3132205,1,1,1,.51282358,3.3322046,1,1,0,1952,36,35
